"Maximum Trial Billing Cycles","Maximum Trial Billing Cycles"
"Merchant ID","Merchant ID"
"Minimum Order Total","Minimum Order Total"
"Month","Month"
"N/A","N/A"
"Name on Card","Tên trên thẻ"
"Name on the Card","Name on the Card"
"New Order Status","New Order Status"
"Number of billing periods that make up one billing cycle.","Số kỳ thanh tóan tạo nên một chu kỳ thanh tóan."
"Order action is not available.","Order action is not available."
"Overrides API URL that may be specified by a payment method.","Ghi đè URL API có thể được xác định bởi một phương thức thanh tóan."
"Password","Mật khẩu"
"Payment Method","Phương thức thanh tóan"
"Payment Methods","Nhiều phương thức thanh tóan"
"Payment Methods Section","Phần phương thức thanh tóan"
"Payment Reference ID","Payment Reference ID"
"Payment Services","Dịch vụ thanh tóan"
"Payment from Applicable Countries","Thanh tóan từ các nước đang áp dụng"
"Payment from Specific Countries","Thanh tóan từ các nước cụ thể"
"Payment method code is not set.","Mã phương thức thanh tóan không được thiết lập."
"Payment method code is undefined.","Mã phương thức thanh tóan được xác định."
"Payment profile is invalid:\n%s","Thông tin thanh tóan không hợp lệ:\n%s"
"Period frequency is wrong.","Period frequency is wrong."
"Please enter a valid credit card verification number.","Hãy nhập số xác minh thẻ tín dụng hợp lệ."
"Processor ID","Processor ID"
"Purchase Order","Purchase Order"
"Purchase Order Number","Purchase Order Number"
"Purchase Order Number:","Purchase Order Number:"
"Purchase Order Number: %s","Purchase Order Number: %s"
"Recurring Profile Start Date","Recurring Profile Start Date"
"Recurring profile start date has invalid format.","Recurring profile start date has invalid format."
"Reference ID is not set.","Reference ID is not set."
"Refund action is not available.","Hành động hòan trả lại không có sẳn."
"Repeats %s time(s).","Số lần %s lặp lại."
"Repeats until suspended or canceled.","Lặp đi lặp lại cho đến khi bị đình chỉ hoặc hủy bỏ."
"Request Card Security Code","Yêu cầu mã bảo vệ thẻ"
"Saved CC","Saved CC"
"Schedule Description","Mô trả lịch trình"
"Schedule description must be not empty.","Mô tả lịch trình không được rỗng."
"Selected payment type is not allowed for billing country.","Lọai thanh tóan đã được chọn không được phép cho thanh tóan cấp quốc gia."
"Send Check to","Send Check to"
"Send Check to:","Send Check to:"
"Severe 3D Secure Card Validation","Severe 3D Secure Card Validation"
"Severe validation removes chargeback liability on merchant.","Severe validation removes chargeback liability on merchant."
"Shipping Amount","Số tiền vận chuyển"
"Short description of the recurring payment. By default equals to the product name.","Mô tả ngắn về thanh tóan định kỳ. Theo mặc định bằng với tên sản phẩm."
"Sort Order","Sắp xếp theo thứ tự"
"Start Date","Ngày bắt đầu"
"Start date has invalid format.","Ngày bắt đầu với định dạng không hợp lệ."
"Start date is undefined.","Ngày bắt đầu không được xác định."
"Subscriber Name","Subscriber Name"
"Switch/Solo/Maestro Issue Number","Switch/Solo/Maestro Issue Number"
"Switch/Solo/Maestro Only","Switch/Solo/Maestro Only"
"Switch/Solo/Maestro Start Date","Switch/Solo/Maestro Start Date"
"Tax Amount","Số tiền thuế"
"Test Mode","Chế độ kiểm tra"
"The date when billing for the profile begins.","The date when billing for the profile begins."
"The number of billing cycles for payment period.","The number of billing cycles for payment period."
"The number of scheduled payments that can fail before the profile is automatically suspended.","The number of scheduled payments that can fail before the profile is automatically suspended."
"The payment review action is unavailable.","Hành động xem lại thanh tóan không có sẳn."
"The requested Payment Method is not available.","Phương thức thanh tóan được yêu cầu không có sẳn."
"Title","Tiêu đề"
"Trial Billing Amount","Trial Billing Amount"
"Trial Billing Frequency","Trial Billing Frequency"
"Trial Billing Period Unit","Trial Billing Period Unit"
"Trial Period","Trial Period"
"Trial billing amount is wrong.","Trial billing amount is wrong."
"Trial billing period unit is wrong.","Trial billing period unit is wrong."
"Trial period frequency is wrong.","Trial period frequency is wrong."
"Trial period max cycles is wrong.","Trial period max cycles is wrong."
"Two Weeks"," 2 tuần"
"Unable to save Billing Agreement:","Unable to save Billing Agreement:"
"Unit for billing during the subscription period.","Unit for billing during the subscription period."
"Unsupported currency code: %s.","Mã tiền tệ: %s không được hỗ trợ."
"Void action is not available.","Void action is not available."
"Week","Tuần"
"What is this?","What is this?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance."
"Wrong %s specified.","Wrong %s specified."
"Wrong or empty billing amount specified.","Số tiền thanh tóan rỗng hoặc sai được xác định."
"Year","Năm"
"Zero Subtotal Checkout","Zero Subtotal Checkout"
