"The ""use_config_notify_stock_qty"" field must be set to 0 or 1.","Trường""use_config_notify_stock_qty"" phải được gán bằng 0,1."
"The ""use_config_qty_increments"" field must be set to 0 or 1.","Trường""use_config_qty_increments"" phải được gán bằng 0,1."
"The attribute rules were saved.","Thuộc tính rules đã được lưu."
"The role has been saved.","role đã được lưu."
"The role is a special one and not for assigning it to admin users.","The role is a special one and not for assigning it to admin users."
"Total Due","Total Due"
"Total Paid","Tổng tiền phải trả"
"Total Refunded","Tồng số tiền phải trả lại"
"Total Reviews Count","Xem lại tổng tiền "
"Type","Lọai"
"URL","URL"
"Update","Cập nhật"
"Use Config Settings for Allow Gift Message","Dùng thiết lập cấu hình cho thông điệm Allow Gift"
"Use Config Settings for Allow Gift Wrapping","Dùng thiết lập cấu hình để gói Allow Gift"
"Use Config Settings for Backorders","Dùng thiết lập cấu hình cho Backorders"
"Use Config Settings for Enable Qty Increments","Dùng thiết lập cấu hình để tăng số lượng"
"Use Config Settings for Manage Stock","Dùng thiết lập cấu hình để quản lý hàng hóa"
"Use Config Settings for Maximum Qty Allowed in Shopping Cart","Dùng thiết lập cấu hình để cho phép số lượng sản phẩm nhiều nhất trong giỏ hàng"
"Use Config Settings for Minimum Qty Allowed in Shopping Cart","Dùng thiết lập cấu hình để cho phép số lượng sản phẩm ít nhất trong giỏ hàng"
"Use Config Settings for Notify for Quantity Below","Dùng thiết lập cấu hình để thông báo số lương bên dưới"
"Use Config Settings for Qty Increments","Dùng thiết lập cấu hình để tăng số lượng"
"Use Config Settings for Qty for Item's Status to Become Out of Stock","Dùng thiết lập cấu hình để số lượng của trạng thái Item trở nên hết hàng"
"User Type","Lọai người dùng"
"User type ""%s"" no longer exists","Lọai người dùng ""%s"" không tồn tại"
"User type ""%s"" not found.","Lọai người dùng ""%s"" không tìm thấy."
"Web Services","Web Services"
"Web services","Web services"
"Write","Write"
"ZIP/Postal Code","ZIP/Postal Code"
